...1,IRS_audit,year,prices_adj,market_value,income_taxes,pretax_income,gross_income,net_sales_revenue,operating_profit_margin,employees,crnt_total_assets,DS_total_assets,turnover_value,turnover_volume,enterprise_value,total_capital
1,0,2004,13.19,3939.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,452990.9,NA,NA
2,1,2005,10.26,3125.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,765636.1,NA,NA
3,0,2006,14.21,4383.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,605246.6,NA,NA
4,0,2007,26.17,9010.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,792706.7,NA,NA
5,0,2008,5.25,1836.49,2000,1233000,1985000,3188000,41.34,NA,NA,10688000,NA,1074999,NA,6392000
6,0,2009,5.88,2074.34,12000,507000,1524000,2309000,39.63,NA,4347000,9152000,NA,1511931,1431487,6871000
7,0,2010,3.93,3010.61,-2000,-52000,1361000,2270000,28.77,3487,6901000,14912000,NA,1730844,3361967,9653000
8,0,2011,2.7,2083.57,0,-189000,1194000,3078000,5.78,3103,4176000,11975000,NA,2064050,3057118,9239000
9,0,2012,2.87,2218.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,2727999,NA,NA
10,0,2013,2.87,2218.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0,2014,2.87,2218.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0,2015,2.87,2218.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0,2004,17.905,3581.28,65112,68477,657793,2361424,18.91,2644,2118288,7830028,NA,255618.7,6013815,5952134
14,1,2005,23.07,3723.54,43000,16000,447000,2708000,9.23,3682,2197000,7405000,NA,499590.3,6177673,5059000
15,0,2006,28.005,7082.07,325000,820000,1754000,5623000,25.57,3217,3083000,19408000,NA,903055.7,14727342,14553000
16,0,2007,43.21,10312.23,377000,892000,1953000,5989000,25.76,3412,3562000,19274000,NA,681078,17596092,13646000
17,1,2008,20.75,4835.72,713000,1670000,2638000,6885000,33.01,3526,8492000,24808000,NA,1139703,7910542,15067000
18,0,2009,23.94,6138.43,728000,1628000,2811000,8952000,24.72,4607,6208000,23378000,NA,812724.6,10711829,15791000
19,0,2010,19.56,4835.17,277000,709000,1963000,8985000,14.58,4964,7137000,26896000,NA,900743.9,10277236,18368000
20,0,2011,18.25,4196.9,-843000,-681000,1289000,8691000,6.63,5193,7597000,26715000,NA,724854.6,8516654,17663000
21,0,2012,22.59,7280.46,-327000,215000,1675000,8886000,8.41,8792,7956000,33867000,NA,1003507,18844733,26515000
22,0,2013,28.59,9606.22,-282000,-641000,1918000,11295000,8.31,7786,7596000,32700000,NA,864723.2,23381940,26485000
23,0,2014,28.16,9521.14,3000,97000,2566000,15868000,9.03,9806,8582000,39259000,1022870,1002437,26673058,31886000
24,0,2015,11.55,3628.73,1342000,-5130000,2353000,14674000,6.67,10468,7391000,32715000,27200780,1459016,22373017,24748000
25,0,2004,280.338,23071.47,1708000,4155000,5496000,11368000,38.96,7209,4431000,21391000,NA,952317.6,25861012,14248000
26,0,2005,382.545,32063.43,2020000,7133000,8094000,15208000,44.56,8017,6574000,26108000,NA,1498007,32971936,18270000
27,0,2006,468.397,41070.06,3466000,7830000,9154000,17661000,43.8,8886,6006000,32355000,NA,1102859,44092236,22169000
28,1,2007,749.166,64713.32,3507000,8578000,9603000,18784000,42.24,9700,8595000,36519000,NA,1623716,67413772,24624000
29,1,2008,540.627,45644.63,4629000,11371000,13757000,24217000,49.07,10400,7172000,41537000,NA,2309385,49380702,29399000
30,1,2009,787.536,66637.81,1918000,4669000,6625000,15369000,31.6,10100,8086000,44229000,NA,1761796,67310833,31741000
31,1,2010,949.935,80470.31,2995000,7359000,9516000,19043000,40.1,11000,13059000,52432000,NA,1368915,81368166,37595000
32,1,2011,898.999,76080.75,4201000,10459000,12900000,24092000,44.71,11300,11542000,60044000,NA,1317360,77164700,43491000
33,1,2012,723.075,61071.64,3118000,7390000,11423000,24123000,37.89,12300,9492000,64210000,NA,1156739,67375355,47071000
34,1,2013,909.839,76454.69,3755000,9282000,11396000,24561000,36.02,12900,11323000,69443000,NA,1159078,79123733,50311000
35,1,2014,816.765,63360.2,1685000,1224000,8228000,19442000,31.76,11700,13873000,56259000,4861630,1129389,60320577,41797000
36,1,2015,68.162,52079.12,-1330000,-9684000,2214000,12598000,4.77,11100,9402000,43437000,90239220,1227218,54936321,31233000
37,0,2011,NA,NA,0,242671,1042517,14960338,1.99,1578,1946504,3621109,NA,NA,NA,1911769
